@relation 'pLoc-mGneg_combine: -C 8'

@attribute cat1 {0,1}
@attribute cat2 {0,1}
@attribute cat3 {0,1}
@attribute cat4 {0,1}
@attribute cat5 {0,1}
@attribute cat6 {0,1}
@attribute cat7 {0,1}
@attribute cat8 {0,1}
@attribute vec1 numeric
@attribute vec2 numeric
@attribute vec3 numeric
@attribute vec4 numeric
@attribute vec5 numeric
@attribute vec6 numeric
@attribute vec7 numeric
@attribute vec8 numeric

@data
0,0,1,0,0,0,0,0,0.62,0.06,1.00,0.01,0.00,0.00,0.02,0.02
0,0,1,0,0,0,0,0,0.30,0.02,1.00,0.04,0.00,0.00,0.02,0.02
0,0,0,0,0,0,0,1,0.02,0.03,0.03,0.04,0.00,0.00,0.00,0.94
0,0,1,0,0,0,0,0,0.30,0.02,1.00,0.04,0.00,0.00,0.02,0.02
0,0,1,0,0,0,0,0,0.62,0.06,1.00,0.02,0.00,0.00,0.06,0.10
1,0,0,0,0,0,0,0,0.96,0.16,0.29,0.02,0.00,0.00,0.00,0.02
0,1,0,0,0,0,0,0,0.86,1.00,0.14,0.03,0.00,0.00,0.00,0.32
0,0,0,1,0,0,0,0,0.19,0.07,0.52,1.00,0.01,0.08,0.00,0.35
0,1,0,0,0,0,0,0,0.86,0.97,0.07,0.03,0.00,0.00,0.00,0.10
0,0,1,0,0,0,0,0,0.30,0.03,1.00,0.07,0.00,0.00,0.02,0.26
0,0,1,0,0,0,0,0,0.62,0.06,1.00,0.02,0.00,0.00,0.06,0.10
0,0,1,0,0,0,0,0,0.05,0.02,1.00,0.01,0.00,0.00,0.02,0.02
0,0,0,1,0,0,0,0,0.64,0.07,0.34,0.92,0.01,0.08,0.00,0.86
0,0,1,0,0,0,0,0,0.96,0.16,0.46,0.43,0.00,0.43,0.00,0.17
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.15,0.00,0.00,0.02,0.18
0,0,1,0,0,0,0,0,0.05,0.02,0.96,0.01,0.00,0.00,0.02,0.01
0,0,0,1,0,0,0,0,0.05,0.25,0.22,1.00,0.02,0.08,0.00,0.04
0,1,0,0,0,0,0,0,0.86,0.97,0.07,0.03,0.00,0.00,0.00,0.02
0,0,0,0,0,0,0,1,0.38,0.03,0.44,0.04,0.01,0.00,0.01,1.00
0,0,0,1,0,0,0,0,0.64,0.07,0.34,0.92,0.01,0.08,0.00,0.40
0,1,0,0,0,0,0,0,0.86,1.00,0.67,0.50,0.00,0.33,0.00,0.50
0,0,0,1,0,0,0,0,0.50,0.11,0.52,0.92,0.01,0.08,0.00,0.39
0,0,1,0,0,0,0,0,0.38,0.03,0.96,0.07,0.01,0.00,0.02,0.40
1,0,0,0,0,0,0,0,0.96,0.16,0.14,0.02,0.00,0.00,0.00,0.02
1,0,0,0,0,0,0,0,0.99,0.19,0.33,0.06,0.00,0.00,0.00,0.33
0,0,0,0,0,0,0,1,0.20,0.22,0.68,0.04,0.00,0.00,0.05,0.94
0,1,0,0,0,0,0,0,0.86,0.97,0.07,0.03,0.00,0.00,0.00,0.10
0,1,0,0,0,0,0,0,0.77,0.97,0.07,0.13,0.00,0.00,0.00,0.02
0,0,1,1,0,0,0,0,0.27,0.25,0.67,1.00,0.02,0.08,0.00,0.20
0,0,0,0,0,0,0,1,0.19,0.07,0.86,0.27,0.00,0.00,0.00,1.00
0,0,0,1,0,0,0,0,0.27,0.25,0.46,0.92,0.02,0.08,0.00,0.26
0,0,1,0,0,0,0,0,0.67,0.20,1.00,0.01,0.01,0.00,0.02,0.32
0,0,1,0,0,0,0,0,0.19,0.07,1.00,0.27,0.00,0.00,0.02,0.20
1,0,0,0,0,0,0,0,0.96,0.25,0.22,0.56,0.02,0.00,0.00,0.02
0,0,1,0,0,0,0,0,0.80,0.25,0.96,0.56,0.02,0.33,0.02,0.17
0,0,1,0,0,0,0,0,0.05,0.25,0.96,0.56,0.02,0.00,0.02,0.02
0,0,1,0,0,0,0,0,0.50,0.02,1.00,0.05,0.00,0.00,0.02,0.01
0,0,1,0,0,0,0,0,0.35,0.02,1.00,0.01,0.01,0.00,0.02,0.32
1,0,0,0,0,0,0,0,1.00,0.25,0.75,0.08,0.00,0.00,0.00,0.33
1,0,0,0,0,0,0,0,0.96,0.44,0.08,0.02,0.00,0.00,0.00,0.24
0,0,1,0,0,0,0,0,0.96,0.16,0.96,0.02,0.00,0.00,0.07,0.25
0,0,0,0,0,0,0,1,0.40,0.41,0.46,0.07,0.01,0.00,0.01,0.94
0,0,0,0,0,0,0,1,0.83,0.03,0.54,0.07,0.01,0.00,0.01,0.94
0,0,1,0,0,0,0,0,0.48,0.03,1.00,0.19,0.00,0.00,0.02,0.26
1,0,0,0,0,0,0,0,1.00,0.25,0.34,0.33,0.00,0.00,0.00,0.20
1,0,0,0,0,0,0,0,1.00,0.33,0.34,0.31,0.00,0.00,0.00,0.20
0,0,0,0,0,0,0,1,0.64,0.07,0.34,0.50,0.00,0.00,0.00,0.94
0,0,1,0,0,0,0,0,0.22,0.09,1.00,0.28,0.00,0.00,0.02,0.26
0,0,1,0,0,0,0,0,0.45,0.03,1.00,0.04,0.00,0.00,0.02,0.15
1,0,0,0,0,0,0,0,1.00,0.50,0.50,0.05,0.01,0.00,0.04,0.50
1,0,0,0,0,0,0,0,1.00,0.16,0.66,0.31,0.01,0.00,0.04,0.20
0,0,0,0,0,0,0,1,0.69,0.14,0.14,0.04,0.00,0.00,0.00,1.00
